# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vazou a lista dos politicos que serao indiciados na lava jato esta semana o procuradorgeral da republica rodrigo janot pedira esta semana ao stf supremo tribunal federal o indiciamento dos politicos mais importantes do pais esta semana o procuradorgeral da republica rodrigo janot pedira nos proximos dias ao stf supremo tribunal federal a abertura de inquerito para investigar pelo menos dois ministros do governo de michel temer alem de senadores do pmdb e do psdb todos citados nas delacoes premiadas da odebrecht janot vai requerer ainda o desmembramento para instancias inferiores de casos envolvendo dezenas de politicos sem foro no supremo mas que foram mencionados nos depoimentos entre eles estao os petistas e expresidentes dilma rousseff e luiz inacio lula da silva alem dos exministros guido mantega e antonio palocci o marqueteiro joao santana governadores exgovernadores e exparlamentares da equipe de temer segundo a folha apurou ja estao na lista da procuradoriageral da republica pgr os ministros eliseu padilha casa civil e moreira franco secretariageral da presidencia outros ministros podem aparecer por exemplo gilberto kassab ciencia e tecnologia e comunicacoes a procuradoria por enquanto estuda esse caso da bancada do pmdb no congresso a pgr quer investigar o presidente do senado eunicio oliveira ce o lider do partido e expresidente renan calheiros al e os senadores edison lobao ma e romero juca rr integram tambem a lista da procuradoria os tucanos jose serra sp e aecio neves mg estrategia a estrategia de janot e tentar entregar na proxima semana todos os pedidos de uma vez ao relator da lava jato no stf edson fachin o numero de solicitacoes ao ministro do supremo pode passar de 40 os detalhes sobre os inqueritos devem ser concluidos ate esta segundafeira 6 em brasilia o procuradorgeral vai sugerir diligencias incluindo depoimentos e quebra de sigilos bancarios e fiscal ao todo cerca de 850 depoimentos de 77 executivos da odebrecht foram analisados muitos deles contem fatos semelhantes outros podem ser anexados a investigacoes ja em andamento hipoteses de acordo com quem tem acesso as delacoes janot e sua equipe estudam ainda a viabilidade juridica de incluir ou nao o nome do presidente michel temer como alvo de inquerito as delacoes da odebrecht incluem o peemedebista em episodios quando ele era vicepresidente por exemplo um jantar no palacio do jaburu com marcelo odebrecht em 2014 e quando ainda era deputado e candidato a vice da petista em 2010 ano em que teria participado de uma reuniao com a empreiteira para discutir repasse de recursos a discussao interna na pgr e se o cargo de vice pode ser considerado um mandato presidencial nesse caso o stf pode autorizar a investigacao da participacao de temer no jantar de 2014
1	vazou	vazar	VERB	VERB	_	0	root	_	TokenRange=0:5
282	os	o	DET	DET	_	283	det	_	TokenRange=1584:1586
283	pedidos	pedido	NOUN	NOUN	_	276	obj	_	TokenRange=1587:1594
284	de	de	ADP	ADP	_	286	case	_	TokenRange=1595:1597
285	uma	um	DET	DET	_	286	det	_	TokenRange=1598:1601
286	vez	vez	NOUN	NOUN	_	283	nmod	_	TokenRange=1602:1605
287-288	ao	_	_	_	_	_	_	_	TokenRange=1606:1608
287	a	a	ADP	ADP	_	289	case	_	_
288	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	289	det	_	_
289	relator	relator	NOUN	NOUN	_	276	iobj	_	TokenRange=1609:1616
290-291	da	_	_	_	_	_	_	_	TokenRange=1617:1619
290	de	de	ADP	ADP	_	292	case	_	_
291	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	292	det	_	_
292	lava	lava	NOUN	NOUN	_	289	nmod	_	TokenRange=1620:1624
293	jato	jato	ADJ	ADJ	_	292	amod	_	TokenRange=1625:1629
294-295	no	_	_	_	_	_	_	_	TokenRange=1630:1632
294	em	em	ADP	ADP	_	296	case	_	_
295	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	296	det	_	_
296	stf	_	NOUN	NOUN	_	490	nmod	_	TokenRange=1633:1636
297	edson	_	NOUN	NOUN	_	296	appos	_	TokenRange=1637:1642
298	fachin	_	NOUN	NOUN	_	297	flat	_	TokenRange=1643:1649
299	o	o	DET	DET	_	300	det	_	TokenRange=1650:1651
300	numero	numero	NOUN	NOUN	_	253	nsubj	_	TokenRange=1652:1658
301	de	de	ADP	ADP	_	302	case	_	TokenRange=1659:1661
302	solicitacoes	solicitacoe	NOUN	NOUN	_	300	nmod	_	TokenRange=1662:1674
303-304	ao	_	_	_	_	_	_	_	TokenRange=1675:1677
303	a	a	ADP	ADP	_	305	case	_	_
304	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	305	det	_	_
305	ministro	ministro	NOUN	NOUN	_	320	iobj	_	TokenRange=1678:1686
306-307	do	_	_	_	_	_	_	_	TokenRange=1687:1689
306	de	de	ADP	ADP	_	308	case	_	_
307	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	308	det	_	_
308	supremo	supremo	NOUN	NOUN	_	305	nmod	_	TokenRange=1690:1697
309	pode	_	AUX	AUX	_	330	aux	_	TokenRange=1698:1702
310	passar	passar	VERB	VERB	_	226	acl:relcl	_	TokenRange=1703:1709
311	de	de	ADP	ADP	_	312	case	_	TokenRange=1710:1712
312	40	_	NUM	NUM	NumType=Card	310	nmod	_	TokenRange=1713:1715
313	os	o	DET	DET	_	314	det	_	TokenRange=1716:1718
314	detalhes	detalhe	NOUN	NOUN	_	253	nsubj	_	TokenRange=1719:1727
315	sobre	_	ADP	ADP	_	317	case	_	TokenRange=1728:1733
316	os	o	DET	DET	_	317	det	_	TokenRange=1734:1736
317	inqueritos	inquerito	NOUN	NOUN	_	300	nmod	_	TokenRange=1737:1747
318	devem	_	AUX	AUX	_	320	aux	_	TokenRange=1748:1753
319	ser	ser	AUX	AUX	_	320	aux:pass	_	TokenRange=1754:1757
320	concluidos	concluir	VERB	VERB	_	129	acl:relcl	_	TokenRange=1758:1768
321	ate	_	ADP	ADP	_	323	case	_	TokenRange=1769:1772
322	esta	_	DET	DET	_	323	det	_	TokenRange=1773:1777
323	segundafeira	_	NOUN	NOUN	_	320	nmod	_	TokenRange=1778:1790
324	6	_	NUM	NUM	NumType=Card	323	appos	_	TokenRange=1791:1792
325	em	em	ADP	ADP	_	326	case	_	TokenRange=1793:1795
326	brasilia	_	NOUN	NOUN	_	323	nmod	_	TokenRange=1796:1804
327	o	o	DET	DET	_	328	det	_	TokenRange=1805:1806
328	procuradorgeral	procuradorgeral	NOUN	NOUN	_	330	nsubj	_	TokenRange=1807:1822
329	vai	ir	AUX	AUX	_	330	aux	_	TokenRange=1823:1826
330	sugerir	sugerir	VERB	VERB	_	100	parataxis	_	TokenRange=1827:1834
331	diligencias	diligencia	NOUN	NOUN	_	330	obj	_	TokenRange=1835:1846
332	incluindo	incluir	VERB	VERB	_	331	acl	_	TokenRange=1847:1856
333	depoimentos	depoimento	NOUN	NOUN	_	332	obj	_	TokenRange=1857:1868
334	e	e	CCONJ	CONJ	_	335	cc	_	TokenRange=1869:1870
335	quebra	quebra	NOUN	NOUN	_	333	conj	_	TokenRange=1871:1877
336	de	de	ADP	ADP	_	337	case	_	TokenRange=1878:1880
337	sigilos	sigilo	NOUN	NOUN	_	335	nmod	_	TokenRange=1881:1888
338	bancarios	bancario	ADJ	ADJ	_	337	amod	_	TokenRange=1889:1898
339	e	e	CCONJ	CONJ	_	340	cc	_	TokenRange=1899:1900
340	fiscal	fiscal	ADJ	ADJ	_	338	conj	_	TokenRange=1901:1907
341-342	ao	_	_	_	_	_	_	_	TokenRange=1908:1910
341	a	a	ADP	ADP	_	343	case	_	_
342	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	343	det	_	_
343	todo	todo	NOUN	NOUN	_	458	nmod	_	TokenRange=1911:1915
344	cerca	cerca	ADV	ADV	_	346	advmod	_	TokenRange=1916:1921
345	de	de	ADP	ADP	_	344	case	_	TokenRange=1922:1924
346	850	_	NUM	NUM	NumType=Card	347	nummod	_	TokenRange=1925:1928
347	depoimentos	depoimento	NOUN	NOUN	_	485	nsubj	_	TokenRange=1929:1940
348	de	de	ADP	ADP	_	350	case	_	TokenRange=1941:1943
349	77	_	NUM	NUM	NumType=Card	350	nummod	_	TokenRange=1944:1946
350	executivos	executivo	NOUN	NOUN	_	347	nmod	_	TokenRange=1947:1957
351-352	da	_	_	_	_	_	_	_	TokenRange=1958:1960
351	de	de	ADP	ADP	_	353	case	_	_
352	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	353	det	_	_
353	odebrecht	_	NOUN	NOUN	_	350	nmod	_	TokenRange=1961:1970
354	foram	_	AUX	AUX	_	355	aux:pass	_	TokenRange=1971:1976
355	analisados	analisar	VERB	VERB	_	446	acl:relcl	_	TokenRange=1977:1987
356	muitos	_	PRON	PRON	_	355	nsubj:pass	_	TokenRange=1988:1994
357	deles	_	X	ADPPRON	_	471	nmod	_	TokenRange=1995:2000
358	contem	contar	VERB	VERB	_	446	acl:relcl	_	TokenRange=2001:2007
359	fatos	fato	NOUN	NOUN	_	358	obj	_	TokenRange=2008:2013
360	semelhantes	semelhante	ADJ	ADJ	_	359	amod	_	TokenRange=2014:2025
361	outros	_	PRON	PRON	_	364	nsubj:pass	_	TokenRange=2026:2032
362	podem	_	AUX	AUX	_	364	aux	_	TokenRange=2033:2038
363	ser	ser	AUX	AUX	_	364	aux:pass	_	TokenRange=2039:2042
364	anexados	anexar	VERB	VERB	_	359	acl:relcl	_	TokenRange=2043:2051
365	a	_	ADP	ADP	_	366	case	_	TokenRange=2052:2053
366	investigacoes	investigacoe	NOUN	NOUN	_	364	nmod	_	TokenRange=2054:2067
367	ja	ja	ADV	ADV	_	369	advmod	_	TokenRange=2068:2070
368	em	em	ADP	ADP	_	369	case	_	TokenRange=2071:2073
369	andamento	andamento	NOUN	NOUN	_	366	nmod	_	TokenRange=2074:2083
370	hipoteses	hipotese	NOUN	NOUN	_	364	nsubj:pass	_	TokenRange=2084:2093
371	de	de	ADP	ADP	_	372	case	_	TokenRange=2094:2096
372	acordo	acordo	NOUN	NOUN	_	370	nmod	_	TokenRange=2097:2103
373	com	_	ADP	ADP	_	375	mark	_	TokenRange=2104:2107
374	quem	_	PRON	PRON	_	375	nsubj	_	TokenRange=2108:2112
375	tem	ter	VERB	VERB	_	372	nmod	_	TokenRange=2113:2116
376	acesso	acesso	NOUN	NOUN	_	375	obj	_	TokenRange=2117:2123
377	as	_	ADP	ADP	_	378	case	_	TokenRange=2124:2126
378	delacoes	delacoe	NOUN	NOUN	_	376	nmod	_	TokenRange=2127:2135
379	janot	_	PROPN	PNOUN	_	378	appos	_	TokenRange=2136:2141
380	e	e	CCONJ	CONJ	_	382	cc	_	TokenRange=2142:2143
381	sua	_	DET	DET	_	382	det:poss	_	TokenRange=2144:2147
382	equipe	equipe	NOUN	NOUN	_	379	conj	_	TokenRange=2148:2154
383	estudam	estudar	VERB	VERB	_	372	acl:relcl	_	TokenRange=2155:2162
384	ainda	ainda	ADV	ADV	_	383	advmod	_	TokenRange=2163:2168
385	a	o	DET	DET	_	386	det	_	TokenRange=2169:2170
386	viabilidade	viabilidade	NOUN	NOUN	_	383	obj	_	TokenRange=2171:2182
387	juridica	juridico	ADJ	ADJ	_	386	amod	_	TokenRange=2183:2191
388	de	_	ADP	ADP	_	389	mark	_	TokenRange=2192:2194
389	incluir	incluir	VERB	VERB	_	386	nmod	_	TokenRange=2195:2202
390	ou	ou	CCONJ	CONJ	_	391	cc	_	TokenRange=2203:2205
391	nao	nao	ADV	ADV	_	389	conj	_	TokenRange=2206:2209
392	o	o	DET	DET	_	393	det	_	TokenRange=2210:2211
393	nome	nome	NOUN	NOUN	_	389	obj	_	TokenRange=2212:2216
394-395	do	_	_	_	_	_	_	_	TokenRange=2217:2219
394	de	de	ADP	ADP	_	396	case	_	_
395	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	396	det	_	_
396	presidente	presidente	NOUN	NOUN	_	393	nmod	_	TokenRange=2220:2230
397	michel	michel	ADJ	ADJ	_	396	appos	_	TokenRange=2231:2237
398	temer	temer	NOUN	NOUN	_	396	flat	_	TokenRange=2238:2243
399	como	como	ADP	ADP	_	400	case	_	TokenRange=2244:2248
400	alvo	alvo	NOUN	NOUN	_	51	nmod	_	TokenRange=2249:2253
401	de	de	ADP	ADP	_	402	case	_	TokenRange=2254:2256
402	inquerito	inquerito	NOUN	NOUN	_	400	nmod	_	TokenRange=2257:2266
403	as	o	DET	DET	_	404	det	_	TokenRange=2267:2269
404	delacoes	delacoe	NOUN	NOUN	_	51	nsubj	_	TokenRange=2270:2278
405-406	da	_	_	_	_	_	_	_	TokenRange=2279:2281
405	de	de	ADP	ADP	_	407	case	_	_
406	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	407	det	_	_
407	odebrecht	_	PROPN	PNOUN	_	404	nmod	_	TokenRange=2282:2291
408	incluem	incluir	VERB	VERB	_	1	parataxis	_	TokenRange=2292:2299
409	o	o	DET	DET	_	410	det	_	TokenRange=2300:2301
410	peemedebista	_	NOUN	NOUN	_	408	obj	_	TokenRange=2302:2314
411	em	em	ADP	ADP	_	412	case	_	TokenRange=2315:2317
412	episodios	episodio	NOUN	NOUN	_	408	nmod	_	TokenRange=2318:2327
413	quando	_	CCONJ	CONJ	_	416	mark	_	TokenRange=2328:2334
414	ele	_	PRON	PRON	_	416	nsubj	_	TokenRange=2335:2338
415	era	_	AUX	AUX	_	416	cop	_	TokenRange=2339:2342
416	vicepresidente	vicepresidente	NOUN	NOUN	_	412	acl:relcl	_	TokenRange=2343:2357
417	por	por	ADP	ADP	_	418	case	_	TokenRange=2358:2361
418	exemplo	exemplo	NOUN	NOUN	_	416	nmod	_	TokenRange=2362:2369
419	um	um	DET	DET	_	420	det	_	TokenRange=2370:2372
420	jantar	jantar	NOUN	NOUN	_	408	obj	_	TokenRange=2373:2379
421-422	no	_	_	_	_	_	_	_	TokenRange=2380:2382
421	em	em	ADP	ADP	_	423	case	_	_
422	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	423	det	_	_
423	palacio	palacio	NOUN	NOUN	_	420	nmod	_	TokenRange=2383:2390
424-425	do	_	_	_	_	_	_	_	TokenRange=2391:2393
424	de	de	ADP	ADP	_	426	case	_	_
425	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	426	det	_	_
426	jaburu	jaburu	NOUN	NOUN	_	423	nmod	_	TokenRange=2394:2400
427	com	com	ADP	ADP	_	428	case	_	TokenRange=2401:2404
428	marcelo	marcelo	NOUN	NOUN	_	420	nmod	_	TokenRange=2405:2412
429	odebrecht	_	PROPN	PNOUN	_	428	flat	_	TokenRange=2413:2422
430	em	em	ADP	ADP	_	431	case	_	TokenRange=2423:2425
431	2014	_	NUM	NUM	NumType=Card	428	nmod	_	TokenRange=2426:2430
432	e	e	CCONJ	CONJ	_	253	cc	_	TokenRange=2431:2432
433	quando	_	CCONJ	CONJ	_	436	advmod	_	TokenRange=2433:2439
434	ainda	ainda	ADV	ADV	_	436	advmod	_	TokenRange=2440:2445
435	era	_	AUX	AUX	_	436	cop	_	TokenRange=2446:2449
436	deputado	deputado	NOUN	NOUN	_	408	conj	_	TokenRange=2450:2458
437	e	e	CCONJ	CONJ	_	438	cc	_	TokenRange=2459:2460
438	candidato	candidato	NOUN	NOUN	_	436	conj	_	TokenRange=2461:2470
439	a	_	ADP	ADP	_	440	case	_	TokenRange=2471:2472
440	vice	vice	NOUN	NOUN	_	438	nmod	_	TokenRange=2473:2477
441-442	da	_	_	_	_	_	_	_	TokenRange=2478:2480
441	de	de	ADP	ADP	_	443	case	_	_
442	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	443	det	_	_
443	petista	petista	NOUN	NOUN	_	438	nmod	_	TokenRange=2481:2488
444	em	em	ADP	ADP	_	446	case	_	TokenRange=2489:2491
445	2010	_	NUM	NUM	NumType=Card	446	nummod	_	TokenRange=2492:2496
446	ano	ano	NOUN	NOUN	_	436	nmod	_	TokenRange=2497:2500
447	em	em	ADP	ADP	_	448	case	_	TokenRange=2501:2503
448	que	_	PRON	PRON	_	450	nmod	_	TokenRange=2504:2507
449	teria	ter	AUX	AUX	_	450	aux	_	TokenRange=2508:2513
450	participado	participar	VERB	VERB	_	446	acl:relcl	_	TokenRange=2514:2525
451	de	de	ADP	ADP	_	453	case	_	TokenRange=2526:2528
452	uma	um	DET	DET	_	453	det	_	TokenRange=2529:2532
453	reuniao	reuniao	NOUN	NOUN	_	450	nmod	_	TokenRange=2533:2540
454	com	com	ADP	ADP	_	456	case	_	TokenRange=2541:2544
455	a	o	DET	DET	_	456	det	_	TokenRange=2545:2546
456	empreiteira	empreiteiro	NOUN	NOUN	_	453	nmod	_	TokenRange=2547:2558
457	para	_	ADP	ADP	_	458	mark	_	TokenRange=2559:2563
458	discutir	discutir	VERB	VERB	_	450	advcl	_	TokenRange=2564:2572
459	repasse	repasse	NOUN	NOUN	_	458	obj	_	TokenRange=2573:2580
460	de	de	ADP	ADP	_	461	case	_	TokenRange=2581:2583
461	recursos	recurso	NOUN	NOUN	_	459	nmod	_	TokenRange=2584:2592
462	a	_	ADP	ADP	_	463	case	_	TokenRange=2593:2594
463	discussao	discussao	NOUN	NOUN	_	459	nmod	_	TokenRange=2595:2604
464	interna	interno	ADJ	ADJ	_	463	amod	_	TokenRange=2605:2612
465-466	na	_	_	_	_	_	_	_	TokenRange=2613:2615
465	em	em	ADP	ADP	_	467	case	_	_
466	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	467	det	_	_
467	pgr	pgr	NOUN	NOUN	_	463	nmod	_	TokenRange=2616:2619
468	e	e	CCONJ	CONJ	_	478	cc	_	TokenRange=2620:2621
469	se	_	CCONJ	CONJ	_	478	mark	_	TokenRange=2622:2624
470	o	o	DET	DET	_	471	det	_	TokenRange=2625:2626
471	cargo	cargo	NOUN	NOUN	_	478	nsubj:pass	_	TokenRange=2627:2632
472	de	de	ADP	ADP	_	473	case	_	TokenRange=2633:2635
473	vice	vice	NOUN	NOUN	_	471	nmod	_	TokenRange=2636:2640
474	pode	_	AUX	AUX	_	478	aux	_	TokenRange=2641:2645
475	ser	ser	AUX	AUX	_	478	aux:pass	_	TokenRange=2646:2649
476	considerado	considerar	AUX	AUX	_	478	cop	_	TokenRange=2650:2661
477	um	um	DET	DET	_	478	det	_	TokenRange=2662:2664
478	mandato	mandato	NOUN	NOUN	_	450	conj	_	TokenRange=2665:2672
479	presidencial	presidencial	ADJ	ADJ	_	478	amod	_	TokenRange=2673:2685
480	nesse	_	ADP	ADP	_	481	case	_	TokenRange=2686:2691
481	caso	caso	NOUN	NOUN	_	478	nmod	_	TokenRange=2692:2696
482	o	o	DET	DET	_	483	det	_	TokenRange=2697:2698
483	stf	_	NOUN	NOUN	_	485	nsubj	_	TokenRange=2699:2702
484	pode	_	AUX	AUX	_	485	aux	_	TokenRange=2703:2707
485	autorizar	autorizar	VERB	VERB	_	168	conj	_	TokenRange=2708:2717
486	a	o	DET	DET	_	487	det	_	TokenRange=2718:2719
487	investigacao	investigacao	NOUN	NOUN	_	485	obj	_	TokenRange=2720:2732
488-489	da	_	_	_	_	_	_	_	TokenRange=2733:2735
488	de	de	ADP	ADP	_	490	case	_	_
489	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	490	det	_	_
490	participacao	participacao	NOUN	NOUN	_	487	nmod	_	TokenRange=2736:2748
491	de	de	ADP	ADP	_	492	case	_	TokenRange=2749:2751
492	temer	temer	NOUN	NOUN	_	490	nmod	_	TokenRange=2752:2757
493-494	no	_	_	_	_	_	_	_	TokenRange=2758:2760
493	em	em	ADP	ADP	_	495	case	_	_
494	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	495	det	_	_
495	jantar	jantar	NOUN	NOUN	_	490	nmod	_	TokenRange=2761:2767
496	de	de	ADP	ADP	_	497	case	_	TokenRange=2768:2770
497	2014	_	NUM	NUM	NumType=Card	495	nmod	_	TokenRange=2771:2775

